Name, EA,formula,nAT,nSK,nH,nC,nN,nO,nP,nS,nF,nCl,nBr,nB,nHet,nX,H%,C%,N%,O%,X%,MW,AMW,Mp,Mi,Si,Se,Sr,H/C,Sp,Mv,Me,IDK,HDI
"Benzene, 1,2,3,5-tetramethyl-",0.108,C10H14,24,10,14,10,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0,134.22199999999998,5.592583333333333,7.337480833333333,12.624206849826166,302.980964395828,56.300000000000004,-612.0,1.4,176.09954,-25.5,2.3458333333333337,0.5,3.0
(naphthalene)2 radical anion,0.11,C20H16-,36,20,16,20,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,256.34799999999996,7.120777777777777,8.280937777777778,12.299464266534223,442.780713595232,86.2,-768.0,0.8,298.11376,-21.333333333333332,2.3944444444444444,0.5,12.0
"Methane, iodo-",0.11,CH3I,5,2,3,1,0,0,0,0,0,0,0,0,1,1,0.6,0.2,0.0,0.0,0.2,141.93947,28.387894,11.544265999999999,12.501365559821199,62.50682779910599,11.81,98.00000000000003,3.0,57.721329999999995,19.600000000000005,2.362,0.3333333333333333,-1.0
Xe..uracil radical anion,0.111,C4H4N2O2Xe-,13,9,4,4,2,2,0,0,0,0,0,0,5,0,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,243.381,18.721615384615383,8.91911076923077,12.913008007600613,167.86910409880798,34.56,418.0,1.0,115.94844,32.15384615384615,2.6584615384615384,0.2,4.0
C60O3 anion,0.121,C60O3-,63,63,0,60,0,3,0,0,0,0,0,0,3,0,0.0,0.9523809523809523,0.0,0.047619047619047616,0.0,768.6569999999999,12.200904761904761,11.014285714285714,11.372562619047617,716.4714449999999,163.32,-75.0,0.0,693.9,-1.1904761904761905,2.5923809523809522,0.5,60.0
"Benzene, hexamethyl-",0.121,C12H18,30,12,18,12,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.0,0.0,0.0,162.276,5.4092,7.224266,12.663175959821197,379.89527879463594,70.2,-780.0,1.5,216.72798,-26.0,2.3400000000000003,0.5,3.0
Kr..NO anion,0.125,KrNO-,3,3,0,0,1,1,0,0,0,0,0,0,3,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,113.804,37.934666666666665,9.826666666666666,14.050596833333332,42.1517905,6.48,281.0,0.0,29.48,93.66666666666667,2.16,0.3333333333333333,1.0
(Ar)4..pyrazine radical anion,0.125,C4H4Ar4N2-,14,10,4,4,2,0,0,0,0,0,0,0,6,0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,239.89000000000001,17.135,8.74003142857143,13.681542714200571,191.541597998808,25.08,108.0,1.0,122.36044000000001,7.714285714285714,1.7914285714285714,0.25,4.0
(H2O)3 radical anion,0.13,H6O3-,9,3,6,0,0,3,0,0,0,0,0,0,3,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,54.045,6.005,4.771406666666667,13.604974733134664,122.44477259821198,23.520000000000003,177.0,0.0,42.94266,19.666666666666668,2.6133333333333337,0.5,-3.0
(biphenyl)2 radical anion,0.13,C24H20-,44,24,20,24,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,308.42400000000004,7.009636363636364,8.212322727272728,12.323081908955453,542.21560399404,105.19999999999999,-952.0,0.8333333333333334,361.34220000000005,-21.636363636363637,2.3909090909090907,0.5,14.0
